,masterid,mastermag,egfid,egfmag,station_number,fcmaster
258,38443287,3.46,37223172,2.07,1,16.39502852545294
259,38443431,3.44,37223708,2.13,1,0.47186888790231346
260,37223156,3.42,38443503,2.35,4,5.682381884661841
261,37223156,3.42,37223964,2.2,1,15.042250996517907
262,37223156,3.42,37224340,2.11,1,2.963201843111639
263,37223156,3.42,37224356,1.84,1,16.105105637062678
264,37222380,3.41,37223204,2.36,1,5.280562767841148
265,37222380,3.41,37224436,2.27,2,1.1217067985589226
266,37222380,3.41,37222892,2.24,1,1.089156737469015
267,37222380,3.41,37223372,2.2,4,1.6378973614120984
268,37222380,3.41,37223956,2.16,4,3.215896001969143
269,37222380,3.41,37224364,2.14,3,2.1201823437936884
270,37222380,3.41,37224332,2.11,1,0.8875184506457999
271,37222380,3.41,37224292,2.08,2,2.729970137093262
272,37222380,3.41,37223172,2.07,2,5.597271703277497
273,37222380,3.41,37223348,2.07,1,0.7659380867119298
274,37222380,3.41,37223636,1.99,1,0.9799461954431967
275,37222380,3.41,37223948,1.99,3,5.393553649810613
276,37222380,3.41,37224444,1.95,3,5.557095687212626
277,37222380,3.41,37223396,1.9,1,1.2155274740264161
278,37222556,3.4,37224436,2.27,1,12.714183098826659
279,37222556,3.4,37223372,2.2,1,16.449766518238086
280,37222556,3.4,37223956,2.16,1,12.442660995332771
281,37222556,3.4,37224364,2.14,1,10.524498286379362
282,37222556,3.4,37224332,2.11,1,12.62364438505682
283,37222556,3.4,37223948,1.99,1,13.159870866914027
284,37222556,3.4,37224444,1.95,1,9.442455168498196
285,37222556,3.4,37223396,1.9,1,10.601741635059984
286,38443407,3.38,37223172,2.07,1,21.389835672985097
287,38443487,3.38,38443503,2.35,5,9.474076037969398
288,38443487,3.38,37224356,1.84,1,8.300287629553491
289,37421957,3.3,37224436,2.27,1,0.9496551849985075
290,37421957,3.3,37223332,2.24,1,14.133814019341452
291,37421957,3.3,38443479,2.21,2,0.976599029810258
292,37421957,3.3,37223372,2.2,1,0.7620513101700992
293,37421957,3.3,37223956,2.16,2,0.9715689878134279
294,37421957,3.3,37224364,2.14,2,1.1267653266422877
295,37421957,3.3,37224332,2.11,1,0.6772644198321172
296,37421957,3.3,37223636,1.99,1,0.6924789950071422
297,37421957,3.3,37223948,1.99,2,0.9189820803854842
298,37421957,3.3,37224444,1.95,1,1.4428815095818648
299,37421957,3.3,37223396,1.9,1,0.7421065545965718
300,37420701,3.23,37223196,2.11,1,14.410911736794391
301,37420701,3.23,37224284,2.03,2,14.467864202838804
302,37421973,3.22,37224340,2.11,1,0.5435531498506397
303,37421973,3.22,37224356,1.84,1,0.7627419349952964
304,38443239,3.22,38443479,2.21,1,0.7521380771354309
305,38443239,3.22,37223372,2.2,1,0.8145941450974857
306,38443239,3.22,37223956,2.16,1,0.845647109824931
307,38443239,3.22,37224364,2.14,1,0.7936781985154646
308,38443239,3.22,37224332,2.11,1,0.7518986009118781
309,38443239,3.22,37223636,1.99,1,0.7803729693072584
310,38443239,3.22,37223948,1.99,1,0.7662020903765706
311,38443239,3.22,37224444,1.95,1,1.4827471871590534
312,38443239,3.22,37223396,1.9,1,0.842522051114739
313,37421933,3.21,37223372,2.2,3,2.898782276313378
314,37421933,3.21,37223956,2.16,1,0.9653198967102143
315,37421933,3.21,37224292,2.08,1,0.5870143985157484
316,37421933,3.21,37223348,2.07,1,0.7181674039705916
317,37421933,3.21,37223948,1.99,1,0.7600354471664735
318,37222524,3.21,37223372,2.2,1,14.963043574542617
319,37222524,3.21,38443079,1.5,2,7.307759162482409
320,37421965,3.2,37224340,2.11,3,1.5449778385826172
321,37421965,3.2,37224356,1.84,3,1.465339773297477
322,38443271,3.07,37224356,1.84,2,9.136879461452551
323,37421989,3.03,37223948,1.99,3,6.924123665322906
324,37421989,3.03,37224444,1.95,2,8.306205282249042
325,37421989,3.03,37223396,1.9,1,14.90969812940574
326,38443463,2.94,37223396,1.9,1,24.215136745503255
327,38443463,2.94,37224268,1.77,1,8.901972145329147
328,38443295,2.92,37223396,1.9,1,2.2156810842978953
329,37223380,2.89,38443079,1.5,13,9.337832392106318
330,38443471,2.87,37224268,1.77,1,13.283988413401197
331,38443111,2.49,38443151,1.43,17,9.661093784315717
