,masterid,mastermag,egfid,egfmag,station_number,fcmaster
342,38459247,3.24,37236180,2.62,7,38.21532767102686
343,38459943,3.24,38507127,2.1,7,5.833289122796546
344,38469119,3.24,38466687,2.71,5,4.113882628856582
345,38469119,3.24,38583991,2.66,7,3.0642355365978844
346,38469119,3.24,38469695,2.16,1,2.712073796994181
347,38472895,3.24,38470103,2.7,4,2.842406505090897
348,38472895,3.24,38565927,2.38,6,3.802640819966764
349,38472895,3.24,38583967,2.1,4,2.736084948596396
350,37420701,3.23,37240492,2.15,1,0.8005717508088055
351,38445295,3.23,38443887,2.29,14,19.362724783593702
352,38448631,3.23,38443839,2.49,13,2.702692172014528
353,38448631,3.23,38457447,2.22,7,3.9175797531645795
354,37222140,3.23,38459431,2.39,3,47.48172420118353
355,37224788,3.23,38482663,2.62,5,2.923739070284963
356,38460279,3.23,38471567,2.48,6,32.878851430637916
357,38460279,3.23,38459775,2.3,6,11.825940344200484
358,38460279,3.23,37236956,2.24,2,28.623441810756404
359,38463807,3.23,38460871,2.48,1,5.748692386637877
360,38463807,3.23,38487535,2.42,7,7.775103727346176
361,38463807,3.23,38510327,2.36,5,4.071158074077337
362,38463807,3.23,37235676,2.24,1,9.07980326766303
363,38463807,3.23,38561599,2.08,5,9.549062718071156
364,38467423,3.23,37227332,2.64,1,2.517767625213393
365,38467423,3.23,38459879,2.31,4,5.350783705021909
366,38467423,3.23,37229164,2.27,1,5.335577679374947
367,38467423,3.23,38459623,2.24,2,4.821718124311833
368,38467423,3.23,38508511,2.2,7,8.699460373491215
369,38467423,3.23,37231764,2.19,2,5.872739299209137
370,38467423,3.23,38463583,2.16,5,4.552212357052097
371,38467423,3.23,38461847,2.13,6,8.452565512171903
372,37421973,3.22,38446799,2.43,1,1.3006498239069024
373,38443239,3.22,38444439,2.09,12,5.516990272457589
374,38443751,3.22,38444119,2.63,3,10.104635356245824
375,38448487,3.22,37232492,2.19,4,26.350072869068164
376,38448487,3.22,38453687,2.04,13,23.886912995028297
377,38448487,3.22,38549135,2.02,5,9.30180045416231
378,37224796,3.22,38482615,2.53,1,17.895921625516348
379,38461159,3.22,38459431,2.39,8,8.099473972848699
380,38461159,3.22,38464495,2.24,4,9.99185539825585
381,38462687,3.22,38489543,2.54,2,18.880801229571194
382,38462687,3.22,38482655,2.31,7,10.233978157274432
383,38463439,3.22,38459303,2.71,8,4.99050698669033
